id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_priced_at
LUNA,LUNA,LUNA,Luna,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LUNA.jpg,active,39.69840567,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,401827635,971133020,15951916463,0.0060,50,94,0,2019-06-05T00:00:00Z,2019-07-26T00:00:00Z,2019-07-04T00:00:00Z,13,-1,46.82443112,2021-10-04T00:00:00Z,1018420533.26,-2.18363718,-0.0521,127804431.79,0.1435,-881850430.67,-0.0524
UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,24.60424095,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,627564437,1000000000,15440746621,0.0058,165,688,95,2019-06-03T00:00:00Z,2020-09-17T00:00:00Z,2019-10-11T00:00:00Z,14,-1,43.22208434,2021-05-04T00:00:00Z,500444980.52,-0.72359456,-0.0286,-12803446.22,-0.0249,-453984254.98,-0.0286
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00006252,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,13182583775,13182583775,13183407970,0.0050,80,3496,13610,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,15,1,1.01218325,2020-03-12T00:00:00Z,4447766336.18,-0.0015622058,-0.0016,314960571.88,0.0762,-20593908.48,-0.0016
AVAX,AVAX,AVAX,Avalanche,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AVAX.svg,active,57.68551809,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,220286577,391128419,12707345334,0.0048,51,303,1265,2020-07-08T00:00:00Z,2020-07-22T00:00:00Z,2020-07-08T00:00:00Z,16,-1,76.60032635,2021-09-23T00:00:00Z,953773249.47,-2.31897161,-0.0386,285181197.02,0.4265,-510838318.47,-0.0386
LTC,LTC,LTC,Litecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ltc.svg,active,181.01244332,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,68725146,84000000,12440106547,0.0047,326,3038,480,2013-03-25T00:00:00Z,2013-03-25T00:00:00Z,2018-08-29T00:00:00Z,17,0,388.84329521,2021-05-09T00:00:00Z,2033167608.29,0.46820152,0.0026,108171213.18,0.0562,33474879.11,0.0027
LINK,LINK,LINK,ChainLink,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LINK.jpg,active,26.11598959,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,458009554,1000000000,11961372742,0.0045,231,1960,32,2017-07-09T00:00:00Z,2017-09-28T00:00:00Z,2018-08-29T00:00:00Z,18,1,52.37538355,2021-05-09T00:00:00Z,1231651461.65,-0.77128663,-0.0287,-121863029.87,-0.0900,-353256644.10,-0.0287
ALGO,ALGO,ALGO,Algorand,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ALGO.png,active,1.77905807,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,6685928248,10000000000,11894654630,0.0045,83,198,0,2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019-06-19T00:00:00Z,19,-1,2.92023001,2019-06-19T00:00:00Z,386368459.06,-0.067190230,-0.0364,9430614.25,0.0250,-447643325.89,-0.0363
WBTC,WBTC,WBTC,Wrapped Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WBTC.png,active,56750.90780537,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,209219,209219,11873340368,0.0045,81,601,77,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z,2019-02-14T00:00:00Z,20,0,63739.78604896,2021-04-13T00:00:00Z,449281794.08,1245.43518949,0.0224,120880927.01,0.3681,279985296.52,0.0242
BCH,BCH,BCH,Bitcoin Cash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BCH.png,active,604.06828305,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,18869475,21000000,11398451303,0.0043,265,1859,126,2017-07-09T00:00:00Z,2017-07-27T00:00:00Z,2018-08-29T00:00:00Z,21,0,3716.98886593,2017-12-20T00:00:00Z,2858333686.82,-6.67607128,-0.0109,-83002820.34,-0.0282,-125515901.17,-0.0109
FTXTOKEN,FTXTOKEN,FTT,FTX Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FTXTOKEN.png,active,54.59657431,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,189393793,336326035,10340252307,0.0039,44,94,0,2019-07-28T00:00:00Z,2019-07-29T00:00:00Z,2019-07-29T00:00:00Z,22,0,79.67974291,2021-09-09T00:00:00Z,325091773.50,-0.64650635,-0.0117,57707060.36,0.2158,-123731004.08,-0.0118
ATOM,ATOM,ATOM,Cosmos,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/atom.jpg,active,33.18177226,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,280529388,,9308462280,0.0035,99,244,0,2017-07-09T00:00:00Z,2019-04-22T00:00:00Z,2019-03-14T00:00:00Z,23,0,44.48448956,2021-09-19T00:00:00Z,799182061.65,-1.06529575,-0.0311,93972886.79,0.1333,-297069273.69,-0.0309
MATIC,MATIC,MATIC,Polygon,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/matic.png,active,1.27151680,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,6720693343,10000000000,8545474516,0.0032,133,914,7623,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,24,0,2.44649116,2021-05-18T00:00:00Z,638501347.25,-0.045540751,-0.0346,67621594.24,0.1185,-303836557.92,-0.0343
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.35437462,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,23862599289,50001802732,8456299630,0.0032,165,498,75,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,25,0,0.89945933,2018-01-03T00:00:00Z,613158244.38,0.0069550262,0.0200,-104074867.27,-0.1451,165964860.00,0.0200
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,71.54468063,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,111411721,2000000000,7970915997,0.0030,86,227,0,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,26,0,190.82957620,2021-03-31T00:00:00Z,1834445074.41,-2.75895374,-0.0371,276407934.22,0.1774,-287471686.25,-0.0348
ICP,ICP,ICP,Dfinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ICP.jpg,active,45.42516467,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,167115443,473661064,7591246530,0.0029,43,72,0,2021-01-30T00:00:00Z,2021-05-06T00:00:00Z,2021-01-30T00:00:00Z,27,0,455.09252576,2021-05-05T00:00:00Z,448683860.82,-2.27680604,-0.0477,31512350.06,0.0755,-380489450.17,-0.0477,2021-03-24T00:11:30.852913Z
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.11204070,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,66760741299,86712634466,7479919971,0.0028,63,189,1,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,28,0,0.25463057,2021-04-18T00:00:00Z,406642826.90,-0.0043925778,-0.0377,-87977094.57,-0.1779,-293251749.32,-0.0377,
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,117.71447212,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,61037235,270000000,7184965914,0.0027,71,148,2,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,29,0,136.54874258,2021-10-03T00:00:00Z,1589069780.94,-6.65365725,-0.0535,467794069.80,0.4172,-406113628.93,-0.0535,2020-11-09T16:49:37.895041Z
TRX,TRX,TRX,TRON,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TRX.svg,active,0.099242053,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,71660220128,100850743812,7111707335,0.0027,198,1927,15402,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z,2018-08-29T00:00:00Z,30,0,0.20711335,2018-01-04T00:00:00Z,1076113714.25,-0.0021666685,-0.0214,-454564019.27,-0.2970,-155263943.95,-0.0214,
ETC,ETC,ETC,Ethereum Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etc.svg,active,54.23037403,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,130263626,210700000,7064245173,0.0027,158,665,103,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z,2018-08-29T00:00:00Z,31,0,134.89028900,2021-05-06T00:00:00Z,1047856994.96,-0.86665286,-0.0157,-140500515.62,-0.1182,-111708141.42,-0.0156,
DAI,DAI,DAI,Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DAI.svg,active,1.00135836,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,6540397000,6541879085,6549281228,0.0025,159,1414,605,2017-12-22T00:00:00Z,2017-12-22T00:00:00Z,2018-09-07T00:00:00Z,32,1,1.15263354,2018-04-07T00:00:00Z,389871861.66,0.0015173653,0.0015,204853639.02,1.1072,25611039.17,0.0039,
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,6.40886702,2021-10-11T00:00:00Z,2021-10-11T13:26:00Z,1000000000,1000000000,6408867016,0.0024,52,119,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,33,-1,14.34227294,2021-04-16T00:00:00Z,309496825.91,-0.26687962,-0.0400,-130766033.46,-0.2970,-266879623.37,-0.0400,
